"","Place","Points","Percent_Earned","Song_Order","Country","Participants"
"1",1,758,0.770325203252033,11,"Portugal",42
"2",2,615,0.625,25,"Bulgaria",42
"3",3,374,0.380081300813008,7,"Moldova",42
"4",4,363,0.36890243902439,23,"Belgium",42
"5",5,344,0.349593495934959,24,"Sweden",42
"6",6,334,0.339430894308943,9,"Italy",42
"7",7,282,0.286585365853659,20,"Romania",42
"8",8,200,0.203252032520325,8,"Hungary",42
"9",9,173,0.175813008130081,14,"Australia",42
"10",10,158,0.160569105691057,17,"Norway",42
"11",11,150,0.152439024390244,6,"Netherlands",42
"12",12,135,0.13719512195122,26,"France",42
"13",13,128,0.130081300813008,13,"Croatia",42
"14",14,120,0.121951219512195,12,"Azerbaijan",42
"15",15,111,0.11280487804878,18,"United Kingdom",42
"16",16,93,0.0945121951219512,4,"Austria",42
"17",17,83,0.084349593495935,3,"Belarus",42
"18",18,79,0.0802845528455285,5,"Armenia",42
"19",19,77,0.0782520325203252,15,"Greece",42
"20",20,77,0.0782520325203252,10,"Denmark",42
"21",21,68,0.0691056910569106,19,"Cyprus",42
"22",22,64,0.0650406504065041,2,"Poland",42
"23",23,39,0.0396341463414634,1,"Israel",42
"24",24,36,0.0365853658536585,22,"Ukraine",42
"25",25,6,0.00609756097560976,21,"Germany",42
"26",26,5,0.00508130081300813,16,"Spain",42
